creche_id_nature;nom;nature;agr;type;ag_cible;date_ouverture;nb_sections;horaire_ouverture;horaire_fermeture;adresse;code_postal;ville;telephone;email;societe;departement;region;siret;enseigne;enseigne_slug;geo_lat;geo_lng;espace_exterieur;repas;lait;couches;marque_blanche;affichage_logo_enseigne
133_PART;Les P'tits Princes;PART;35;Mac;0;          ;0;08:00;19:30;31 rue Général Delestraint;75016;Paris;;;;;;;Crèches de France;creches-de-france;48.84149770;2.25801660;False;True;True;True;False;True
134_PART;Lucioles et Compagnie;PART;23;Mac;0;          ;0;07:00;20:00;75 rue Bayen;75017;Paris;;;;75;;;Crèches de France;creches-de-france;48.88372860;2.28967170;False;True;True;True;False;True
138;NOGENT MANDARINE (DSP);DSP;60;MAC;60;01/09/2012;0;07:30;19:00;4 RUE DE LA MUETTE;94130;NOGENT SUR MARNE;01 41 05 76 64;nogent.mandarine@lpcr.fr;LPCR NOGENT SUR MARNE;94;;753523034;;;48.8352163;2.4808788000000277;True;True;True;True;False;False
14;ANNECY;CEP;34;MAC;34;02/04/2007;0;07:30;19:00;1 rue des Bouvières;74940;ANNECY LE VIEUX;09 50 03 29 00;annecy@lpcr.fr;LPCR GROUPE;74;;528570229;;les-petits-chaperons-rouges;45.9279087;6.168158299999959;True;True;True;True;False;True
146;MARNAZ (DSP);DSP;35;MAC;35;21/10/2013;0;06:30;18:30;65 rue Antoine de Saint Exupéry;74460;MARNAZ;04 37 46 45 30;marnaz@lpcr.fr;LPCR COLLECTIVITES PUBLIQUES;74;;494149990;;;46.0605959;6.526859999999942;True;True;True;True;False;False
156;PARIS 13 RUNGIS (ART.30);DSP Paris;86;MAC;86;06/01/2014;0;08:00;19:00;1-3 Place Rungis;75013;PARIS;01 53 62 40 50;paris.13@lpcr.fr;LPCR PARIS 13;75;;799563655;;;48.8220225;2.346152599999982;True;True;True;True;False;False
157;HCL CALUIRE;DSP;60;MAC;60;01/09/2014;0;06:00;22:00;43 rue Margnolles;69300;CALUIRE ET CUIRE;04 37 46 45 40;caluire@lpcr.fr;LPCR CP RHONE;69;;798025243;;;45.7862707;4.839762800000017;True;True;True;True;False;False
164;LE PLESSIS ROBINSON;CEP;41;MAC;49;05/05/2014;0;07:45;19:00;Centre d'Affaires La Boursidière - rue de la Boursidière;92357;LE PLESSIS ROBINSON;01 55 90 44 51;plessis.robinson@lpcr.fr;LPCR GROUPE;92;;528570229;;les-petits-chaperons-rouges;48.77380549999999;2.240494099999978;True;True;True;True;False;True
168;GEX THOIRY CREUX (DSP);DSP;48;MAC;48;01/09/2014;0;07:00;19:00;288 rue du creux;01710;THOIRY;04 37 46 17 77;gex.thoiry@lpcr.fr;LPCR THOIRY;01;;790245930;;;46.2312613;5.984403100000009;True;True;True;True;False;False
173;MONTROUGE VERDIER;CEP;43;MAC;43;07/04/2008;0;08:30;19:30;19/25 avenue Gambetta;92120;MONTROUGE;01 55 90 44 49;montrouge.verdier@lpcr.fr;LPCR GROUPE;92;;528570229;;les-petits-chaperons-rouges;48.8138172;2.323197100000016;True;True;True;True;False;True
177;LES MALICIEUX DE SOLFERINO;CEP;10;MIC;10;08/11/2010;0;08:30;19:00;23 rue de Solférino;59000;LILLE;03 20 31 62 41;lille.solferino@crechesetmalices.com;LPCR GROUPE;59;;528570229;;creches-et-malices;50.6347087;3.048357200000055;True;True;True;True;False;True
179;LES MALICIEUX DES INVALIDES;CEP;10;MIC;10;20/06/2011;0;08:30;19:00;38 boulevard des Invalides;75007;PARIS;01 70 08 19 07;paris.invalides@crechesetmalices.com;LPCR GROUPE;75;;528570229;;creches-et-malices;48.8499828;2.3142844000000196;True;True;True;True;False;True
183;LES MALICIEUX DES TAPISSERIES;CEP;10;MIC;10;17/10/2011;0;08:30;19:00;17 rue des Tapisseries;75017;PARIS;01 70 08 19 88;paris.tapisseries@crechesetmalices.com;LPCR GROUPE;75;;528570229;;creches-et-malices;48.888865;2.307692299999985;True;True;True;True;False;True
191;LES MALICIEUX DE PONDICHERY;CEP;10;MIC;10;27/08/2012;0;08:30;19:00;20 rue de Pondichéry;75015;PARIS;01 80 49 54 13;paris.pondichery@crechesetmalices.com;LPCR GROUPE;75;;528570229;;creches-et-malices;48.8497139;2.297274000000016;True;True;True;True;False;True
100_PART;Arc en Ciel;PART;50;Mac;0;          ;0;07:00;19:00;37 quai du Docteur Dervaux;92600;Asnières sur Seine;;;;;;;Crèches de France;creches-de-france;48.90509240;2.28710670;True;True;True;True;False;True
102_PART;Nid d'Eveil;PART;60;Mac;0;          ;0;07:30;19:30;149 rue Paul Vaillant Couturier;94250;Gentilly;;;;;;;Nid d'Eveil;nid-d-eveil;48.81649140;2.33303640;True;True;True;True;False;True
104_PART;Eragny sur oise;PART;10;Micro-crèche;0;          ;0;07:00;20:00;239 boulevard des Aviateurs Alliés;95610;Eragny sur Oise;;;;95;Ile-de-france;;Au Village de Nounours;au-village-de-nounours;49.01532660;2.09218140;False;True;False;False;False;True
110;MONTREUIL;CEP;43;MAC;60;09/05/2012;0;07:45;18:45;261 rue de Paris - Immeuble Mélies ( entrée crèche 2 rue Armand Carrel);93100;MONTREUIL;01 41 05 76 62;montreuil@lpcr.fr;LPCR GROUPE;93;;528570229;;les-petits-chaperons-rouges;48.8543207;2.416648900000041;True;True;True;True;False;True
110_PART;Balou 3;PART;65;Mac;0;          ;0;08:00;18:00;67 rue Fénellon et Robert Guidicelli;13007;Marseille;;;;13;;;Balou Crèche;balou-creche;43.28610180;5.35465300;True;True;False;True;False;True
111_PART;Paris 20;PART;20;Mac;0;          ;0;07:30;19:00;5 rue de la Justice;75020;Paris;;;;75;;;Bio Crèche;bio-creche;48.86976820;2.40715160;False;True;True;True;False;True
119_PART;La Maison de Batistin;PART;20;Mac;0;          ;0;06:15;18:10;CHU région Saint Omer;62570;Helfaut;;;;62;;;Crèches de France;creches-de-france;50.69732200;2.24321200;True;True;True;True;False;True
121_PART;Petit d'Hom';PART;20;Mac;0;          ;0;07:30;18:30;8 passage Elie de Beaumont;66000;Perpignan;;;;66;;;Crèches de France;creches-de-france;42.69302370;2.87546390;False;True;True;True;False;True
123_PART;Mil Dominis;PART;20;Mac;0;          ;0;07:30;18:30;16 allée des Oliviers;66390;Baixas;;;;66;;;Crèches de France;creches-de-france;42.71256380;2.84616050;True;True;True;True;False;True
1251_PART;LES LOUP'INGS;PART;10;Micro;0;          ;0;07:00;19:00;Zone Pyrène Aéro Pôle Teleport 3;65290;JUILLAN;;;;;;;LES LOUP'INGS;les-loupings;43.2020539;0.02285400000005211;True;True;True;True;True;False
1253_PART;Bois-Colombes;PART;10;;0;          ;1;08:00;19:00;19 rue du Général Leclerc;92270;Bois-Colombes;;;;92;;;HAPPY EVEIL;;48.914099;2.271585;True;True;True;True;False;True
1261_PART;Pomme d'Happy;PART;10;Micro-crèche;0;26/09/2016;1;08:00;19:00;427 avenue du Maréchal de Lattre de Tassigny;33000;Bordeaux;;;;;;;POMME D'HAPPY;;44.8593597;-0.6301971999999978;True;True;False;False;True;False
1274_PART;Aubing;PART;36;MAC;0;          ;2;08:00;17:30;Industriestraße 28;81245;Munich;;;;;;;INFANTERIX;;48.158053;11.41852270000004;True;False;False;False;False;True
128;HESINGUE;CEP;49;MAC;49;23/09/2013;0;07:30;18:30;55 Rue du Loup;68220;HESINGUE;09 73 60 95 94;hesingue@lpcr.fr;LPCR GRAND EST;68;;533474094;;les-petits-chaperons-rouges;47.57914419999999;7.530329199999983;True;True;True;True;False;True
128_PART;Bulles de Savon;PART;21;Mac;0;          ;0;07:00;20:00;38 rue Saint Georges;75009;Paris;;;;75;;;Crèches de France;creches-de-france;48.87632940;2.33739640;False;True;True;True;False;True
130_PART;La P'tite Fée et Rit;PART;26;Mac;0;          ;0;07:00;20:00;54 bis place Saint Charles;75015;Paris;;;;;;;Crèches de France;creches-de-france;48.849813;2.287161200000014;False;True;True;True;False;True
132_PART;Les 1000 et un Pas;PART;17;Mac;0;          ;0;08:00;19:30;17 avenue Théophile Gaultier;75016;Paris;;;;75;;;Crèches de France;creches-de-france;48.85030860;2.27381400;False;True;True;True;False;True
133;AIMARGUES;CEP;31;MAC;31;05/01/2015;0;07:30;18:30;6 Rond Point des Grenadiers;30470;AIMARGUES;04 37 46  45 46;aimargues@lpcr.fr;LPCR GROUPE;30;;528570229;;les-petits-chaperons-rouges;43.69921009999999;4.202785100000028;True;True;True;True;False;True
137;NOGENT LUTINS (DSP);DSP;60;MAC;60;01/09/2012;0;07:30;19:00;2 rue Maréchal Vaillant;94130;NOGENT SUR MARNE;01 41 05 76 63;nogent.jdl@lpcr.fr;LPCR NOGENT SUR MARNE;94;;753523034;;;48.8398536;2.490878299999963;True;True;True;True;False;False
141;PARIS 17 (ART.30);DSP Paris;33;MAC;33;15/10/2012;0;08:00;19:30;10-12 rue Daubigny;75017;PARIS;01 41 05 76 67;paris.17@lpcr.fr;LPCR COLLECTIVITES PUBLIQUES;75;;494149990;;;48.8849898;2.308677100000068;True;True;True;True;False;False
15;LE BOURGET DU LAC;DGP;33;MAC;33;27/11/2007;0;07:45;19:00;SAVOIE TECHNOLAC - 30 allée du Lac d'Aiguebelette - Bâtiment Passerelle 6 - BP 40214;73370;LE BOURGET DU LAC;04 56 42 00 51;chambery@lpcr.fr;LPCR GROUPE;73;;528570229;;;45.6459751;5.866812299999992;True;True;True;True;False;False
154;PARIS 15 LECOCQ (ART.30);DSP Paris;66;MAC;66;08/11/2013;0;07:30;19:00;19 RUE CHARLES LECOCQ;75015;PARIS;01 55 90 44 42;paris.15@lpcr.fr;LPCR PARIS;75;;791514565;;;48.84081510000001;2.294868500000007;True;True;True;True;False;False
160;YUTZ;CEP;36;MAC;36;25/08/2014;0;07:30;18:30;Immeuble Lippmann- 1A Avenue Lippmann;57970;YUTZ;03 83 22 25 41;yutz@lpcr.fr;LPCR GRAND EST;57;;533474094;;les-petits-chaperons-rouges;49.3496164;6.171107900000038;True;True;True;True;False;True
167;NANTES HERRIOT;CEP;31;MAC;31;12/01/2015;0;08:00;19:00;2 rue Président Herriot;44000;NANTES;09 52 22 39 87;nantes@lpcr.fr;LPCR GROUPE;44;;528570229;;les-petits-chaperons-rouges;47.2182243;-1.5595974000000297;True;True;True;True;False;True
17;BELFORT;CEP;46;MAC;46;17/12/2007;0;07:30;19:30;Rue Maurice et Louis de Broglie;90000;BELFORT;03 83 22 19 00;belfort@lpcr.fr;LPCR GROUPE;90;;528570229;;les-petits-chaperons-rouges;47.6457485;6.8442514999999275;True;True;True;True;False;True
18;ENGHIEN LA SOURCE (DSP);DSP;50;MAC;50;02/01/2008;0;07:30;19:00;Maison de la Petite Enfance -18 rue du Temple;95880;ENGHIEN LES BAINS;01 41 05 53 92;enghien.1@lpcr.fr;LPCR COLLECTIVITES PUBLIQUES;95;;494149990;;;48.9753169;2.307544499999949;True;True;True;True;False;False
104;PESSAC;CEP;37;MAC;37;19/09/2011;0;07:30;18:30;Europarc - 8 rue Gustave Hertz;33600;PESSAC;09 52 42 98 85;pessac@lpcr.fr;LPCR GROUPE;33;;528570229;;les-petits-chaperons-rouges;44.7847846;-0.6541273000000274;True;True;True;True;False;True
106_PART;Temple;PART;10;Micro-crèche;0;          ;0;08:30;19:30;6 rue Notre Dame des Nazareth;75003;Paris;;;;75;;;Baboune;baboune;48.86707340;2.36157000;False;True;True;True;False;True
116;MONTPELLIER PARC 2000;CEP;43;MAC;43;26/01/2012;0;07:30;18:30;321 rue Maurice Béjart;34000;MONTPELLIER;04 37 46 45 27;montpellier.parc2000@lpcr.fr;LPCR GROUPE;34;;528570229;;les-petits-chaperons-rouges;43.6184567;3.822255700000028;True;True;True;True;False;True
119;CROISSY;CEP;60;MAC;60;08/11/2012;0;07:30;19:00;16 avenue Carnot;78290;CROISSY SUR SEINE;01 41 05 76 66;croissy@lpcr.fr;LPCR CROISSY;78;;749837605;;les-petits-chaperons-rouges;48.88183009999999;2.1449278999999706;True;True;True;True;False;True
122_PART;O Comme 3 Pommes;PART;30;Mac;0;          ;0;06:30;18:30;Impasse d'Oslow;66000;Perpignan;;;;66;;;Crèches de France;creches-de-france;42.68865910;2.89483320;True;True;True;True;False;True
124_PART;Coccinelle;PART;16;Mac;0;          ;0;07:00;19:00;29 rue Duquesne;69006;Lyon;;;;69;;;Crèches de France;creches-de-france;45.77275600;4.84475760;False;True;True;True;False;True
1254_PART;Les babies de Saint-Cyr;PART;10;;0;01/01/2017;1;08:00;19:00;53/57 Avenue Pierre Curie;78210;Saint-Cyr-L'Ecole;;;;;;;HAPPY EVEIL;;48.79805630000001;2.065939399999934;False;True;True;True;False;True
126_PART;Rondes et Comptines;PART;19;Mac;0;          ;0;08:30;19:30;6 rue Roger Verlomme;75003;Paris;;;;75;;;Crèches de France;creches-de-france;48.85691830;2.36687110;False;True;True;True;False;True
1264_PART;Les P'tits Normands de Verneuil;PART;10;Micro-crèche;0;          ;1;07:00;19:00;Rue Félix Brard;27130;Verneuil-sur-Avre;;;;;;;LES P'TITS NORMANDS;;48.74915319999999;0.9290555999999697;True;True;False;False;False;True
1267_PART;Crech and Do;PART;60;MAC;0;01/09/2010;0;07:00;19:30;205 rue Kerervern;29490;Guipavas;;;;29;;;MUTUALITE ENFANCE FAMILLE;;48.42586159999999;-4.4375775999999405;True;True;True;True;False;True
127_PART;Tralalere;PART;18;Mac;0;          ;0;07:00;20:00;52 rue Madame;75006;Paris;;;;75;;;Crèches de France;creches-de-france;48.84792290;2.33129230;False;True;True;True;False;True
1270_PART;Infanterix Neuhausen 2;PART;24;MAC;0;          ;2;07:30;17:00;Dom-Pedro-Straße 17;80637;Munich;;;;;;;INFANTERIX;;48.1595227;11.542453900000055;True;False;False;False;False;True
1271_PART;Harras;PART;12;MAC;0;          ;2;08:00;17:30;Trautmannstrasse 1;81373;Munich;;;;;;;INFANTERIX;;48.1175875;11.535501000000068;True;False;False;False;False;True
1275_PART;Aubing 2;PART;24;MAC;0;          ;2;08:00;17:30;Kronwinklerstraße 24;81245;Munich;;;;;;;INFANTERIX;;48.15946;11.424729999999954;True;False;False;False;False;True
1282_PART;Les Louvresses;PART;70;MAC;0;01/09/2012;3;08:00;19:30;12 avenue des Louvresses;92230;Gennevilliers;;;;92;;;CAP ENFANT;;48.9439139;2.3058250999999927;True;False;False;False;False;False
129_PART;Ma Petite Île;PART;32;Mac;0;          ;0;07:30;19:30;83 avenue Philippe Auguste;75011;Paris;;;;75;;;Crèches de France;creches-de-france;48.85482280;2.39169690;True;True;True;True;False;True
136;BAILLARGUES (DSP);DSP;21;MAC;21;03/09/2012;0;07:30;18:30;1 allée de la Cigogne - Quartier du Petit Parc;34670;BAILLARGUES;04 37 46 17 72;baillargues@lpcr.fr;LPCR BAILLARGUES;34;;753130475;;;43.6583547;4.013361000000032;True;True;True;True;False;False
136_PART;Les Petits Patapons;PART;20;Mac;0;          ;0;08:00;19:30;56 boulevard de la Mission Marchand;92400;Courbevoie;;;;92;;;Crèches de France;creches-de-france;48.89895880;2.24029310;True;True;True;True;False;True
147;ASNIERES (DSP);DSP;60;MAC;60;02/09/2013;0;07:30;19:30;248 rue du Ménil;92600;ASNIÈRES-SUR-SEINE;01 41 05 53 95;asnieres@lpcr.fr;LPCR COLLECTIVITES PUBLIQUES;92;;494149990;;;48.9258915;2.2746035999999776;True;True;True;True;False;False
151;NORROY LE VENEUR;CEP;29;MAC;29;25/08/2014;0;07:30;18:30;ECOPARC - LE MARIN - Rue Jean-Louis Etienne;57140;NORROY LE VENEUR;03 83 22 25 40;norroy.veneur@lpcr.fr;LPCR GRAND EST;57;;533474094;;les-petits-chaperons-rouges;49.1820113;6.144542099999967;True;True;True;True;False;True
152;YERRES;CEP;54;MAC;54;03/02/2014;0;07:30;18:30;2 ter rue du Stade;91330;YERRES;01 55 90 44 44;yerres@lpcr.fr;LPCR GROUPE;91;;528570229;;les-petits-chaperons-rouges;48.7105595;2.4806925999999976;True;True;True;True;False;True
162;VAULX EN VELIN;CEP;21;MAC;31;30/03/2015;0;07:30;19:00;105 rue Alexandre Dumas;69120;VAULX EN VELIN;04 37 46 45 49;vaulx.velin@lpcr.fr;LPCR GROUPE;69;;528570229;;les-petits-chaperons-rouges;45.7534477;4.933167899999944;True;True;True;True;False;True
171;PARIS 19 CAMBRAI;CEP;27;MAC;31;23/02/2015;0;08:00;19:00;32 Rue de Cambrai;75019;PARIS;01 55 90 44 54;paris.cambrai@lpcr.fr;LPCR GROUPE;75;;528570229;;les-petits-chaperons-rouges;48.89573600000001;2.3821863000000576;True;True;True;True;False;True
178;LA FEDERATION DES MALICIEUX;CEP;10;MIC;10;31/01/2011;0;08:30;19:00;39 rue de la Fédération;75015;PARIS;01 47 34 01 24;paris.federation@crechesetmalices.com;LPCR GROUPE;75;;528570229;;creches-et-malices;48.8540368;2.293763600000034;True;True;True;True;False;True
186;PARIS 3 HAUDRIETTES;CEP;21;MAC;21;20/02/2012;0;08:30;19:00;3 rue des Haudriettes;75003;PARIS;09 81 77 37 40;paris.haudriettes@lpcr.fr;LPCR GROUPE;75;;528570229;;les-petits-chaperons-rouges;48.8613165;2.3576137000000017;True;True;True;True;False;True
193;LES MALICIEUX DE LILLE FLANDRES;CEP;10;MIC;10;18/10/2012;0;08:00;19:00;10 rue à Fiens;59000;LILLE;03 61 26 19 52;lille.flandres@crechesetmalices.com;LPCR GROUPE;59;;528570229;;creches-et-malices;50.6374967;3.068659900000057;True;True;True;True;False;True
193_PART;La Maison des Chatons Hanoï;PART;10;Micro-crèche;0;          ;0;08:00;18:30;8 rue d'Hanoï;69100;Villeurbanne;;;;49;;;Crèches Expansion;creches-expansion;45.77132660;4.86222800;False;True;True;True;False;True
100;MOLSHEIM;CEP;31;MAC;31;28/11/2011;0;07:30;18:30;Immeuble Le Grand Sport  - Rue Gaston Romazzoti;67120;MOLSHEIM;03 83 22 19 01;molsheim@lpcr.fr;LPCR GROUPE;67;;528570229;;les-petits-chaperons-rouges;48.5327121;7.51112379999995;True;True;True;True;False;True
101;AIX DSP ETE;DSP Aix;50;MAC;60;07/06/2011;0;07:30;19:30;1030 rue J R Guillibert G. de la Lauzière;13100;AIX-EN-PROVENCE;;m.tchikaya@lpcr.fr;LPCR DSP AIX;13;;508776150;;;43.4795424;5.367934999999989;True;True;True;True;False;False
107_PART;Martel;PART;10;Micro-crèche;0;          ;0;08:30;19:30;11 rue Martel;75010;Paris;;;;75;;;Baboune;baboune;48.87423710;2.35311600;False;True;True;True;False;True
108_PART;Voltaire;PART;10;Micro-crèche;0;          ;0;08:30;19:30;28 rue Basfroi;75011;Paris;;;;75;;;Baboune;baboune;48.85515270;2.37923740;False;True;True;True;False;True
112_PART;KIDS COOCOON;PART;10;Micro-crèche;0;          ;0;07:30;18:30;6 chemin des Prêles;38240;Meylan;;;;;;;COOCOON;coocoon;45.20851860;5.78540660;True;True;True;True;False;True
115_PART;Lou Mistoulin;PART;10;Micro-crèche;0;          ;0;07:00;19:00;3 boulevard de Cambrai;6000;Nice;;;;6;;;Crèches de France;creches-de-france;43.68897800;7.23525660;True;True;True;True;False;True
118;BOUC BEL AIR LA FARANDOLE;CEP;31;MAC;31;07/01/2013;0;07:30;18:30;RN 8 - Parc Oxylane - La Petite Bastide;13320;BOUC BEL AIR;04 37 46 17 79;bba.farandole@lpcr.fr;LPCR GROUPE;13;;528570229;;les-petits-chaperons-rouges;43.4320359;5.39980300000002;True;True;True;True;False;True
12;LEVALLOIS AUFAN;CEP;35;MAC;35;20/08/2007;0;07:00;19:00;33 rue Marius Aufan;92300;LEVALLOIS PERRET;01 41 05 58 72;levallois.aufan@lpcr.fr;LPCR GROUPE;92;;528570229;;les-petits-chaperons-rouges;48.8893101;2.2852659999999787;True;True;True;True;False;True
1257_PART;Grolée;PART;30;;0;          ;0;07:30;19:00;12 quai Jules Courmont;69002;Lyon;;;;69;;;VILLE DE LYON;;45.760496;4.837314;True;True;False;True;True;False
1258_PART;Saint Cyr l'Ecole;PART;10;Micro-crèche;0;22/08/2016;1;07:30;19:00;65 rue Gabriel Péri;78210;Saint Cyr l'Ecole;;;;78;;;CHAPITEAU BLEU;;48.802491;2.060457;True;True;True;True;False;True
1260_PART;Les loup'ing;PART;10;Micro-crèche;0;01/10/2016;1;07:00;19:00;zone pyrène téléport 3;65290;Juillan;;;;65;;;ADMR;;43.188062;0.007965;True;True;True;True;False;True
1263_PART;Le Jardin d'Irène;PART;40;MAC;0;          ;2;8:00;20:00;770 boulevard Blaise Doumerc;82000;Montauban;;;;82;;;LA MAISON D'IRENE;;44.0189168;1.363582899999983;True;True;True;True;False;True
1276_PART;Blumenau;PART;48;MAC;0;          ;2;08:00;17:30;Terofalstraße 25;80689;Munich;;;;;;;INFANTERIX;;48.12492999999999;11.47569999999996;True;False;False;False;False;True
1283_PART;Parc St Christophe;PART;30;MAC;0;01/09/2014;0;08:00;19:30;10 avenue de l'Entreprise;95000;Cergy;;;;95;;;CAP ENFANT;;49.04171059999999;2.0308052000000316;True;False;False;False;False;False
1284_PART;Atlantis;PART;44;MAC;0;01/03/2016;0;08:00;19:30;36 rue Victor Basch;91300;Massy;;;;91;;;CAP ENFANT;;48.72975109999999;2.270216399999981;True;False;False;False;False;False
130;PLAISIR;CEP;31;MAC;31;02/09/2013;0;07:30;18:30;288 avenue du 19 mars 1962;78370;PLAISIR;01 55 90 44 45;plaisir@lpcr.fr;LPCR GROUPE;78;;528570229;;les-petits-chaperons-rouges;48.8310291;1.9451387000000295;True;True;True;True;False;True
138_PART;Les Oursons;PART;28;Mac;0;          ;0;07:30;19:00;7 rue Lionel Terray;92500;Rueil Malmaison;;;;92;;;Crèches de France;creches-de-france;48.86160650;2.17877730;True;True;True;True;False;True
153;LA MADELEINE HADOUR (DSP);DSP;60;MAC;60;26/08/2013;0;07:30;19:00;35 rue Gambetta;59110;LA MADELEINE;03 83 22 25 19;madeleine.hadour@lpcr.fr;LPCR DSP NORD;59;;795205269;;;50.6550657;3.071767399999999;True;True;True;True;False;False
159;PARIS 19 ANGERS (ART.30);DSP Paris;66;MAC;66;13/01/2014;0;08:00;19:00;6 Rue David d'Angers;75019;PARIS;01 44 52 15 15;paris.angers@lpcr.fr;LPCR PARIS 19;75;;799653522;;;48.8828351;2.3888792000000194;True;True;True;True;False;False
16;MONTPELLIER MILLENAIRE;CEP;60;MAC;60;03/12/2007;0;07:30;19:00;91 rue de Thor - ZAC Eureka - Immeuble Olympie;34000;MONTPELLIER;04 37 46 45 26;montpellier.millenaire@lpcr.fr;LPCR GROUPE;34;;528570229;;les-petits-chaperons-rouges;43.6176179;3.914270100000067;True;True;True;True;False;True
169;LIMONEST;CEP;26;MAC;31;13/10/2014;0;07:30;19:00;462 chemin de Champivost ZAC des Bruyères;69760;LIMONEST;04 37 46 45 39;limonest@lpcr.fr;LPCR GROUPE;69;;528570229;;les-petits-chaperons-rouges;45.8115645;4.775084099999958;True;True;True;True;False;True
185;LES MALICIEUX DE FARADAY;CEP;10;MIC;10;09/01/2012;0;08:30;19:00;18 rue Faraday;75017;PARIS;01 70 08 19 85;paris.faraday@crechesetmalices.com;LPCR GROUPE;75;;528570229;;creches-et-malices;48.8822993;2.293948900000032;True;True;True;True;False;True
187;LES MALICIEUX DE NATIONALE;CEP;10;MIC;10;01/05/2012;0;08:30;19:00;207 rue Nationale;59000;LILLE;03 20 07 56 80;lille.nationale@crechesetmalices.com;LPCR GROUPE;59;;528570229;;creches-et-malices;50.631663;3.050231599999961;True;True;True;True;False;True
195;LEI CALINOUS;DSP;10;MIC;10;07/01/2013;0;07:30;18:00;Impasse des Magnolias, Le Clos;83340;LE THORONET;04 94 67 12 70;thoronet@crechesetmalices.com;LPCR GROUPE;83;;528570229;;;43.4521159;6.302193999999986;True;True;True;True;False;False
196;LES MALICIEUX DE SAINT APOLLINE;CEP;10;MIC;10;21/01/2013;0;08:30;19:00;7/9 rue St Apolline;75003;PARIS;01 80 48 96 92;paris.apolline@crechesetmalices.com;LPCR GROUPE;75;;528570229;;creches-et-malices;48.8687274;2.3544979000000694;True;True;True;True;False;True
2_PART;Paris 11;PART;40;Mac;0;          ;0;07:30;19:00;17 rue du Moulin Joly;75011;Paris;;;;75;;;Bio Crèche;bio-creche;48.86957100;2.37838080;False;True;True;True;False;True
